system,Ligand1,Ligand2,exp_ddG,bennett_ddG,bennett_error,ccc_ddG,ccc_error,,Error_bar,abs_error_Bar,,Error_ccc,Abs_error_ccc,,,
,54,42,0.88,2.25,0.04,2.01,0.51,,-1.37,1.37,1.8769,-1.13,1.13,1.2769,,
,44,23,-0.16,1.17,0.15,1.25,0.38,,-1.33,1.33,1.7689,-1.41,1.41,1.9881,,
,28,27,0.51,-0.13,0.07,0.13,1.23,,0.64,0.64,0.4096,0.38,0.38,0.1444,,
,67,27,1.46,3.28,0.1,3.73,1.25,,-1.82,1.82,3.3124,-2.27,2.27,5.1529,,
,52,60,0.31,0.19,0.17,0.1,1.07,,0.12,0.12,0.0144,0.21,0.21,0.0441,,
,27,23,-2.71,-2.31,0.23,-2.3,0.6,,-0.4,0.4,0.16,-0.41,0.41,0.1681,,
,49,67,0.78,-0.99,0.1,-1.43,0.72,,1.77,1.77,3.1329,2.21,2.21,4.8841,,
,28,47,0.85,-0.34,0.14,-0.22,1.04,,1.19,1.19,1.4161,1.07,1.07,1.1449,,
,67,52,-1.64,0.1,0.09,0.01,1.07,,-1.74,1.74,3.0276,-1.65,1.65,2.7225,,
,30,48,1.19,1.89,0.12,2.01,1.06,,-0.7,0.7,0.49,-0.82,0.82,0.6724,,
,67,35,-1.23,2.43,0.09,2.18,1.25,,-3.66,3.66,13.3956,-3.41,3.41,11.6281,,
,32,34,-0.29,-1.33,0.07,-1.28,0.88,,1.04,1.04,1.0816,0.99,0.99,0.9801,,
,65,67,0.83,0.62,0.15,0.71,1.07,,0.21,0.21,0.0441,0.12,0.12,0.0144,,
,67,50,-1.75,0.51,0.06,0.73,0.82,,-2.26,2.26,5.1076,-2.48,2.48,6.1504,,
,35,39,1.79,0.16,0.09,0,0.79,,1.63,1.63,2.6569,1.79,1.79,3.2041,,
,43,47,1.26,1.68,0.06,1.56,1.04,,-0.42,0.42,0.1764,-0.3,0.3,0.09,,
,67,37,-1.37,0.32,0.05,0.32,1.01,,-1.69,1.69,2.8561,-1.69,1.69,2.8561,,
,42,64,-0.6,-1.19,0.15,-0.96,0.87,,0.59,0.59,0.3481,0.36,0.36,0.1296,,
,51,45,-0.51,-0.74,0.11,-1.13,0.87,,0.23,0.23,0.0529,0.62,0.62,0.3844,,
,68,23,-1.14,-2,0.14,-1.96,0.63,,0.86,0.86,0.7396,0.82,0.82,0.6724,1.155915493,1.413741913
P38,p38a_2u,p38a_2q,0,0.51,0.16,0.42,0.34,,-0.51,0.51,0.2601,-0.42,0.42,0.1764,,
,p38a_3fln,p38a_2g,0.22,-0.08,0.06,-0.24,0.73,,0.3,0.3,0.09,0.46,0.46,0.2116,,
,p38a_2u,p38a_2k,1.71,2.7,0.19,2.79,0.34,,-0.99,0.99,0.9801,-1.08,1.08,1.1664,,
,p38a_2v,p38a_3fln,-1.91,-1.61,0.08,-1.33,0.93,,-0.3,0.3,0.09,-0.58,0.58,0.3364,,
,p38a_3fln,p38a_2n,-0.97,-0.92,0.09,-1.15,0.76,,-0.05,0.05,0.0025,0.18,0.18,0.0324,,
,p38a_2ee,p38a_3fln,1.38,1.19,0.11,1.23,0.72,,0.19,0.19,0.0361,0.15,0.15,0.0225,,
,p38a_3fly,p38a_3flq,1.49,1,0.1,0.89,1.03,,0.49,0.49,0.2401,0.6,0.6,0.36,,
,p38a_3fln,p38a_2p,-0.32,-0.2,0.1,-0.25,0.57,,-0.12,0.12,0.0144,-0.07,0.07,0.0049,,
,p38a_3fly,p38a_2x,1.19,1.64,0.1,1.51,0.34,,-0.45,0.45,0.2025,-0.32,0.32,0.1024,,
,p38a_2v,p38a_2y,-0.8,-1.86,0.12,-2.08,1.13,,1.06,1.06,1.1236,1.28,1.28,1.6384,,
,p38a_2j,p38a_2f,1.6,0.37,0.09,0.43,0.73,,1.23,1.23,1.5129,1.17,1.17,1.3689,,
,p38a_2j,p38a_2q,-2.18,-3.03,0.17,-2.94,0.34,,0.85,0.85,0.7225,0.76,0.76,0.5776,,
,p38a_2z,p38a_3fmk,-1.47,-2.93,0.12,-2.52,1.29,,1.46,1.46,2.1316,1.05,1.05,1.1025,,
,p38a_3fly,p38a_3fmh,0.6,-0.73,0.08,-0.73,0.24,,1.33,1.33,1.7689,1.33,1.33,1.7689,,
,p38a_2z,p38a_2aa,1.09,1.67,0.1,1.08,1.29,,-0.58,0.58,0.3364,0.01,0.01,0.0001,,
,p38a_3fln,p38a_2gg,0.22,-0.19,0.15,0.03,0.51,,0.41,0.41,0.1681,0.19,0.19,0.0361,,
,p38a_2v,p38a_3fly,-2.45,-1.82,0.07,-2.06,1.03,,-0.63,0.63,0.3969,-0.39,0.39,0.1521,,
,p38a_2j,p38a_2h,0.6,-0.5,0.11,-0.78,0.72,,1.1,1.1,1.21,1.38,1.38,1.9044,,
,p38a_2l,p38a_2o,1.77,2.93,0.09,2.41,0.93,,-1.16,1.16,1.3456,-0.64,0.64,0.4096,,
,p38a_3fln,p38a_2t,-0.97,-0.31,0.08,-0.49,0.85,,-0.66,0.66,0.4356,-0.48,0.48,0.2304,,
,p38a_2v,p38a_2x,-1.26,-0.67,0.09,-0.54,0.34,,-0.59,0.59,0.3481,-0.72,0.72,0.5184,,
,p38a_2j,p38a_2ff,-1.36,-1.19,0.14,-1.12,0.74,,-0.17,0.17,0.0289,-0.24,0.24,0.0576,,
,p38a_2g,p38a_2c,0.2,-1.08,0.13,-1.35,0.43,,1.28,1.28,1.6384,1.55,1.55,2.4025,,
,p38a_2l,p38a_2p,1.06,1.73,0.12,1.78,0.57,,-0.67,0.67,0.4489,-0.72,0.72,0.5184,,
,p38a_2g,p38a_2h,1.18,-0.64,0.14,-0.36,0.72,,1.82,1.82,3.3124,1.54,1.54,2.3716,,
,p38a_3fln,p38a_2o,0.39,-0.14,0.09,0.38,0.93,,0.53,0.53,0.2809,0.01,0.01,0.0001,,
,p38a_2gg,p38a_2j,0.58,-0.08,0.2,0.14,0.51,,0.66,0.66,0.4356,0.44,0.44,0.1936,,
,p38a_3fln,p38a_2r,0.09,-2.03,0.09,-2.25,0.88,,2.12,2.12,4.4944,2.34,2.34,5.4756,,
,p38a_3fln,p38a_2i,0.83,-0.7,0.1,-0.38,0.72,,1.53,1.53,2.3409,1.21,1.21,1.4641,,
,p38a_2z,p38a_3flw,-0.32,-0.58,0.16,-0.73,1.06,,0.26,0.26,0.0676,0.41,0.41,0.1681,,
,p38a_2g,p38a_2i,0.61,0.19,0.07,-0.13,0.72,,0.42,0.42,0.1764,0.74,0.74,0.5476,,
,p38a_3flz,p38a_2c,-0.97,-1.75,0.14,-1.48,0.43,,0.78,0.78,0.6084,0.51,0.51,0.2601,,
,p38a_2ee,p38a_2j,2.18,1.45,0.13,1.41,0.72,,0.73,0.73,0.5329,0.77,0.77,0.5929,,
,p38a_2m,p38a_2j,0.88,3.33,0.11,3.29,0.71,,-2.45,2.45,6.0025,-2.41,2.41,5.8081,,
,p38a_2t,p38a_2j,1.77,0.85,0.1,0.67,0.85,,0.92,0.92,0.8464,1.1,1.1,1.21,,
,p38a_2j,p38a_2r,-0.71,-2.64,0.13,-2.42,0.88,,1.93,1.93,3.7249,1.71,1.71,2.9241,,
,p38a_2e,p38a_2j,0.62,0.3,0.09,0.32,0.67,,0.32,0.32,0.1024,0.3,0.3,0.09,,
,p38a_2v,p38a_3fmh,-1.85,-2.8,0.1,-2.79,0.24,,0.95,0.95,0.9025,0.94,0.94,0.8836,,
,p38a_2v,p38a_3fmk,-2.86,-4.97,0.1,-5.38,1.29,,2.11,2.11,4.4521,2.52,2.52,6.3504,,
,p38a_2aa,p38a_2bb,0.2,2.51,0.13,1.77,1.29,,-2.31,2.31,5.3361,-1.57,1.57,2.4649,,
,p38a_3fln,p38a_2s,-0.23,-0.73,0.13,-0.51,0.67,,0.5,0.5,0.25,0.28,0.28,0.0784,,
,p38a_2v,p38a_2j,-1.11,-0.87,0.13,-1.15,0.93,,-0.24,0.24,0.0576,0.04,0.04,0.0016,,
,p38a_2v,p38a_2bb,-0.09,-0.74,0.11,0,1.29,,0.65,0.65,0.4225,-0.09,0.09,0.0081,,
,p38a_2l,p38a_2j,2.18,1.72,0.1,2.19,0.93,,0.46,0.46,0.2116,-0.01,0.01,1E-04,,
,p38a_2z,p38a_2y,0.58,0.54,0.1,0.76,1.13,,0.04,0.04,0.0016,-0.18,0.18,0.0324,,
,p38a_3fln,p38a_3flz,1.39,-0.17,0.06,-0.11,0.4,,1.56,1.56,2.4336,1.5,1.5,2.25,,
,p38a_2z,p38a_3flq,0.43,1.57,0.13,1.68,1.03,,-1.14,1.14,1.2996,-1.25,1.25,1.5625,,
,p38a_2l,p38a_2n,0.41,0.64,0.07,0.87,0.76,,-0.23,0.23,0.0529,-0.46,0.46,0.2116,,
,p38a_3fln,p38a_2e,0.18,-0.16,0.07,-0.14,0.67,,0.34,0.34,0.1156,0.32,0.32,0.1024,,
,p38a_2m,p38a_2k,0.41,2.67,0.09,2.71,0.71,,-2.26,2.26,5.1076,-2.3,2.3,5.29,,
,p38a_3flz,p38a_2g,-1.17,0.07,0.08,-0.14,0.43,,-1.24,1.24,1.5376,-1.03,1.03,1.0609,,
,p38a_2aa,p38a_3flw,-1.41,-1.96,0.21,-1.81,1.06,,0.55,0.55,0.3025,0.4,0.4,0.16,,
,p38a_2s,p38a_2l,-1.15,-1.74,0.12,-1.52,0.67,,0.59,0.59,0.3481,0.37,0.37,0.1369,,
,p38a_2g,p38a_2f,2.18,0.9,0.06,0.84,0.73,,1.28,1.28,1.6384,1.34,1.34,1.7956,,
,p38a_3fln,p38a_2k,0.33,-0.28,0.08,-0.41,0.71,,0.61,0.61,0.3721,0.74,0.74,0.5476,,
,p38a_3fln,p38a_2ff,-0.56,-0.88,0.1,-0.95,0.74,,0.32,0.32,0.1024,0.39,0.39,0.1521,0.803392857,1.028989622
Thrombin,1d,6e,-0.66,1.08,0.08,1.05,0.33,,-1.74,1.74,3.0276,-1.71,1.71,2.9241,,
,1d,5,0.67,3.02,0.07,2.62,1.2,,-2.35,2.35,5.5225,-1.95,1.95,3.8025,,
,1b,3b,0.6,0.21,0.08,0.95,1.2,,0.39,0.39,0.1521,-0.35,0.35,0.1225,,
,6a,1b,0.72,0.29,0.07,0.26,0.33,,0.43,0.43,0.1849,0.46,0.46,0.2116,,
,1b,1c,-0.1,-0.45,0.07,-0.69,1.12,,0.35,0.35,0.1225,0.59,0.59,0.3481,,
,1d,1c,-0.31,0.23,0.06,0.47,1.12,,-0.54,0.54,0.2916,-0.78,0.78,0.6084,,
,1b,1a,0.98,1.06,0.08,0.99,0.89,,-0.08,0.08,0.0064,-0.01,0.01,0.0001,,
,1a,5,-0.1,0.08,0.08,0.48,1.2,,-0.18,0.18,0.0324,-0.58,0.58,0.3364,,
,3a,1d,0.07,-0.83,0.06,-1.17,1.2,,0.9,0.9,0.81,1.24,1.24,1.5376,,
,6a,6b,0.29,-0.41,0.08,-0.38,0.33,,0.7,0.7,0.49,0.67,0.67,0.4489,,
,1d,7a,0.03,0.79,0.07,0.93,1.04,,-0.76,0.76,0.5776,-0.9,0.9,0.81,,
,1b,7a,0.24,-0.09,0.09,-0.23,1.04,,0.33,0.33,0.1089,0.47,0.47,0.2209,,
,3a,1b,-0.14,-0.35,0.07,-0.01,1.2,,0.21,0.21,0.0441,-0.13,0.13,0.0169,,
,1d,1a,0.77,2.42,0.1,2.15,1.08,,-1.65,1.65,2.7225,-1.38,1.38,1.9044,,
,1a,3b,-0.38,0.69,0.08,-0.05,1.2,,-1.07,1.07,1.1449,-0.33,0.33,0.1089,,
,6e,6b,0.02,-0.49,0.08,-0.52,0.33,,0.51,0.51,0.2601,0.54,0.54,0.2916,0.755625,0.925097968
Tyk2,jmc_23,ejm_55,2.49,0.83,0.1,0.68,0.24,,1.66,1.66,2.7556,1.81,1.81,3.2761,,
,ejm_44,ejm_55,-1.79,-4.03,0.11,-3.6,0.76,,2.24,2.24,5.0176,1.81,1.81,3.2761,,
,ejm_49,ejm_31,-1.79,-0.95,0.11,-1.01,0.29,,-0.84,0.84,0.7056,-0.78,0.78,0.6084,,
,ejm_31,ejm_46,-1.77,-0.75,0.1,-0.81,0.24,,-1.02,1.02,1.0404,-0.96,0.96,0.9216,,
,jmc_28,jmc_27,-0.3,-0.57,0.09,-0.7,0.24,,0.27,0.27,0.0729,0.4,0.4,0.16,,
,ejm_42,ejm_48,0.78,1.22,0.1,1.07,0.72,,-0.44,0.44,0.1936,-0.29,0.29,0.0841,,
,ejm_31,ejm_43,1.28,1.59,0.09,1.64,0.47,,-0.31,0.31,0.0961,-0.36,0.36,0.1296,,
,ejm_50,ejm_42,-0.8,-0.24,0.1,-0.18,0.29,,-0.56,0.56,0.3136,-0.62,0.62,0.3844,,
,ejm_42,ejm_55,0.57,-0.84,0.09,-0.9,0.53,,1.41,1.41,1.9881,1.47,1.47,2.1609,,
,jmc_23,ejm_46,0.39,0.6,0.09,0.66,0.24,,-0.21,0.21,0.0441,-0.27,0.27,0.0729,,
,ejm_31,ejm_45,-0.02,0.01,0.09,0.2,0.76,,-0.03,0.03,0.0009,-0.22,0.22,0.0484,,
,ejm_55,ejm_54,-1.32,-0.1,0.09,-0.13,0.43,,-1.22,1.22,1.4884,-1.19,1.19,1.4161,,
,ejm_45,ejm_42,-0.22,-0.28,0.09,-0.09,0.76,,0.06,0.06,0.0036,-0.13,0.13,0.0169,,
,ejm_31,jmc_28,-1.44,-0.39,0.1,-0.48,0.24,,-1.05,1.05,1.1025,-0.96,0.96,0.9216,,
,ejm_31,ejm_48,0.54,1.03,0.11,1.18,0.72,,-0.49,0.49,0.2401,-0.64,0.64,0.4096,,
,ejm_47,ejm_31,0.16,-0.87,0.1,-0.57,0.76,,1.03,1.03,1.0609,0.73,0.73,0.5329,,
,ejm_47,ejm_55,0.49,-1.05,0.09,-1.35,0.76,,1.54,1.54,2.3716,1.84,1.84,3.3856,,
,ejm_44,ejm_42,-2.36,-2.27,0.1,-2.7,0.76,,-0.09,0.09,0.0081,0.34,0.34,0.1156,,
,jmc_23,jmc_27,0.42,0.16,0.09,0.29,0.24,,0.26,0.26,0.0676,0.13,0.13,0.0169,,
,ejm_43,ejm_55,-0.95,-2.48,0.1,-2.43,0.47,,1.53,1.53,2.3409,1.48,1.48,2.1904,,
,jmc_23,jmc_30,0.76,0.54,0.1,0.5,0.18,,0.22,0.22,0.0484,0.26,0.26,0.0676,,
,jmc_28,jmc_30,0.04,-0.52,0.09,-0.48,0.18,,0.56,0.56,0.3136,0.52,0.52,0.2704,,
,ejm_42,ejm_54,-0.75,-1.07,0.11,-1.04,0.43,,0.32,0.32,0.1024,0.29,0.29,0.0841,,
,ejm_49,ejm_50,-1.23,-0.76,0.13,-0.7,0.29,,-0.47,0.47,0.2209,-0.53,0.53,0.2809,0.75125,0.93164505
PTP1B,23466,23475,-0.87,-1.54,0.13,-1.92,0.68,,0.67,0.67,0.4489,1.05,1.05,1.1025,,
,23467,23466,-0.51,-0.23,0.1,-0.39,0.56,,-0.28,0.28,0.0784,-0.12,0.12,0.0144,,
,23467,23468,-0.41,-0.5,0.11,-0.44,0.34,,0.09,0.09,0.0081,0.03,0.03,0.0009,,
,23467,23469,-0.38,-0.63,0.13,-0.55,0.38,,0.25,0.25,0.0625,0.17,0.17,0.0289,,
,23467,23470,-0.38,-1.19,0.15,-1.39,0.58,,0.81,0.81,0.6561,1.01,1.01,1.0201,,
,23467,23473,-1.05,-1.21,0.09,-1.44,0.61,,0.16,0.16,0.0256,0.39,0.39,0.1521,,
,23467,23474,-1.77,-2.66,0.12,-2.38,0.59,,0.89,0.89,0.7921,0.61,0.61,0.3721,,
,23467,23475,-1.38,-2.68,0.15,-2.3,0.68,,1.3,1.3,1.69,0.92,0.92,0.8464,,
,23467,23476,-2.07,-2.55,0.13,-2.65,0.48,,0.48,0.48,0.2304,0.58,0.58,0.3364,,
,23469,23472,-0.92,-1.33,0.24,-1.39,0.38,,0.41,0.41,0.1681,0.47,0.47,0.2209,,
,23469,20669(2qbr),-0.88,-1.35,0.11,-1.21,0.35,,0.47,0.47,0.2209,0.33,0.33,0.1089,,
,23471,23466,-0.1,1.07,0.12,0.93,0.58,,-1.17,1.17,1.3689,-1.03,1.03,1.0609,,
,23471,23468,0,0.94,0.08,0.88,0.34,,-0.94,0.94,0.8836,-0.88,0.88,0.7744,,
,23471,23470,0.03,-0.27,0.1,-0.07,0.58,,0.3,0.3,0.09,0.1,0.1,0.01,,
,23473,20669(2qbr),-0.22,-0.09,0.08,-0.32,0.61,,-0.13,0.13,0.0169,0.1,0.1,0.01,,
,23474,23466,1.26,1.72,0.12,2,0.59,,-0.46,0.46,0.2116,-0.74,0.74,0.5476,,
,23476,23466,1.57,2.36,0.18,2.26,0.48,,-0.79,0.79,0.6241,-0.69,0.69,0.4761,,
,23477,23466,1.01,1.79,0.12,2.03,1.16,,-0.78,0.78,0.6084,-1.02,1.02,1.0404,,
,23477,23467,1.51,2.31,0.14,2.42,0.68,,-0.8,0.8,0.64,-0.91,0.91,0.8281,,
,23477,23479,-0.29,-0.67,0.12,-0.27,1.39,,0.38,0.38,0.1444,-0.02,0.02,0.0004,,
,23477,23482,-1.15,-0.45,0.11,-0.71,1.39,,-0.7,0.7,0.49,-0.44,0.44,0.1936,,
,23477,23483,-1.02,-1.47,0.13,-1.74,0.9,,0.45,0.45,0.2025,0.72,0.72,0.5184,,
,23477,23330(2qbq),-1.27,-1.98,0.15,-1.88,1,,0.71,0.71,0.5041,0.61,0.61,0.3721,,
,23480,23479,-0.42,-0.18,0.07,0.04,1.3,,-0.24,0.24,0.0576,-0.46,0.46,0.2116,,
,23480,23482,-1.29,-0.18,0.18,-0.4,1.3,,-1.11,1.11,1.2321,-0.89,0.89,0.7921,,
,23482,23479,0.86,-0.05,0.22,0.44,1.45,,0.91,0.91,0.8281,0.42,0.42,0.1764,,
,23482,23485,-1.01,-0.48,0.15,0.06,1.38,,-0.53,0.53,0.2809,-1.07,1.07,1.1449,,
,23482,23486,-2.46,0.11,0.16,-1.19,1.45,,-2.57,2.57,6.6049,-1.27,1.27,1.6129,,
,23483,23479,0.73,1.99,0.22,1.48,0.8,,-1.26,1.26,1.5876,-0.75,0.75,0.5625,,
,23484,23479,-1.39,1.35,0.33,0.67,1.45,,-2.74,2.74,7.5076,-2.06,2.06,4.2436,,
,23484,23482,-2.25,-0.06,0.16,0.23,0.89,,-2.19,2.19,4.7961,-2.48,2.48,6.1504,,
,23484,23485,-3.26,0.19,0.15,0.29,1.36,,-3.45,3.45,11.9025,-3.55,3.55,12.6025,,
,23484,23486,-4.72,-0.94,0.15,-0.96,1.23,,-3.78,3.78,14.2884,-3.76,3.76,14.1376,,
,23485,23479,1.87,0.29,0.33,0.38,1.38,,1.58,1.58,2.4964,1.49,1.49,2.2201,,
,23486,23479,3.33,2.04,0.3,1.63,1.27,,1.29,1.29,1.6641,1.7,1.7,2.89,,
,23486,23485,1.46,1.72,0.16,1.25,1.36,,-0.26,0.26,0.0676,0.21,0.21,0.0441,,
,20667(2qbp),23479,2.28,1.13,0.23,1.27,1.17,,1.15,1.15,1.3225,1.01,1.01,1.0201,,
,20667(2qbp),23482,1.42,1,0.1,0.83,1.17,,0.42,0.42,0.1764,0.59,0.59,0.3481,,
,20667(2qbp),23484,3.67,0.92,0.16,0.6,1.45,,2.75,2.75,7.5625,3.07,3.07,9.4249,,
,20667(2qbp),23485,0.41,0.98,0.17,0.89,1.29,,-0.57,0.57,0.3249,-0.48,0.48,0.2304,,
,20667(2qbp),23486,-1.05,-0.81,0.19,-0.36,1.45,,-0.24,0.24,0.0576,-0.69,0.69,0.4761,,
,20669(2qbr),23466,0.76,1.52,0.14,1.37,0.61,,-0.76,0.76,0.5776,-0.61,0.61,0.3721,,
,20669(2qbr),23472,-0.04,-0.23,0.18,-0.17,0.38,,0.19,0.19,0.0361,0.13,0.13,0.0169,,
,20670(2qbs),23466,1.24,3.24,0.13,2.89,1.16,,-2,2,4,-1.65,1.65,2.7225,,
,20670(2qbs),23477,0.23,0.54,0.08,0.86,1.06,,-0.31,0.31,0.0961,-0.63,0.63,0.3969,,
,20670(2qbs),23479,-0.06,0.32,0.13,0.59,1.2,,-0.38,0.38,0.1444,-0.65,0.65,0.4225,,
,20670(2qbs),23482,-0.92,0.06,0.11,0.15,1.2,,-0.98,0.98,0.9604,-1.07,1.07,1.1449,,
,20670(2qbs),23483,-0.79,-0.64,0.13,-0.88,0.9,,-0.15,0.15,0.0225,0.09,0.09,0.0081,,
,20670(2qbs),23330(2qbq),-1.04,-0.92,0.1,-1.02,1,,-0.12,0.12,0.0144,-0.02,0.02,0.0004,0.892653061,1.223979792
,,,,,,,,,-0.035048485,0.924793939,1.173417919,-0.013169697,0.899351515,1.1441449,,
